Datum,Temperatur,Humidity
2021-03-04 00:00:01,23.7,37.9
2021-03-04 00:01:01,23.7,37.9
2021-03-04 00:02:02,23.7,37.9
2021-03-04 00:03:02,23.7,37.9
2021-03-04 00:04:01,23.7,37.9
2021-03-04 00:05:01,23.7,37.9
2021-03-04 00:06:01,23.7,37.9
2021-03-04 00:07:01,23.7,37.9
2021-03-04 00:08:02,23.7,37.9
2021-03-04 00:09:02,23.7,37.9
2021-03-04 00:10:01,23.7,37.9
2021-03-04 00:11:01,23.7,37.9
2021-03-04 00:12:01,23.7,37.9
2021-03-04 00:13:01,23.7,38.0
2021-03-04 00:14:01,23.7,37.9
2021-03-04 00:15:02,23.6,37.9
2021-03-04 00:16:02,23.6,37.9
2021-03-04 00:17:01,23.6,37.9
2021-03-04 00:18:01,23.6,37.9
2021-03-04 00:19:01,23.6,37.9
2021-03-04 00:20:01,23.6,37.9
2021-03-04 00:21:02,23.6,37.9
2021-03-04 00:22:02,23.6,37.9
2021-03-04 00:23:01,23.6,37.9
2021-03-04 00:24:01,23.6,37.9
2021-03-04 00:25:01,23.6,37.9
2021-03-04 00:26:01,23.6,37.9
2021-03-04 00:27:02,23.6,37.9
2021-03-04 00:28:02,23.6,37.9
2021-03-04 00:29:01,23.6,37.9
2021-03-04 00:30:01,23.5,37.9
2021-03-04 00:31:01,23.5,37.9
2021-03-04 00:32:01,23.5,37.9
2021-03-04 00:33:01,23.5,37.9
2021-03-04 00:34:02,23.5,37.9
2021-03-04 00:35:02,23.5,37.9
2021-03-04 00:36:04,23.5,37.9
2021-03-04 00:37:01,23.5,37.9
2021-03-04 00:38:02,23.5,37.9
2021-03-04 00:39:02,23.5,37.9
2021-03-04 00:40:01,23.5,37.9
2021-03-04 00:41:01,23.5,37.9
2021-03-04 00:42:01,23.5,37.9
2021-03-04 00:43:01,23.5,37.9
2021-03-04 00:44:01,23.4,37.9
2021-03-04 00:45:02,23.4,37.9
2021-03-04 00:46:02,23.5,37.9
2021-03-04 00:47:01,23.4,37.9
2021-03-04 00:48:01,23.4,37.9
2021-03-04 00:49:01,23.4,37.9
2021-03-04 00:50:01,23.4,37.9
2021-03-04 00:51:02,23.4,38.0
2021-03-04 00:52:02,23.4,38.0
2021-03-04 00:53:01,23.4,38.0
2021-03-04 00:54:01,23.4,37.9
2021-03-04 00:55:01,23.4,37.9
2021-03-04 00:56:01,23.4,37.9
2021-03-04 00:57:02,23.4,37.9
2021-03-04 00:58:02,23.4,37.9
2021-03-04 00:59:01,23.4,37.9
2021-03-04 01:00:01,23.4,37.9
2021-03-04 01:01:01,23.4,37.9
2021-03-04 01:02:01,23.3,37.9
2021-03-04 01:03:02,23.3,37.9
2021-03-04 01:04:02,23.4,37.9
2021-03-04 01:05:01,23.3,37.9
2021-03-04 01:06:01,23.3,37.9
2021-03-04 01:07:01,23.3,37.9
2021-03-04 01:08:01,23.3,37.9
2021-03-04 01:09:01,23.3,37.9
2021-03-04 01:10:02,23.3,37.9
2021-03-04 01:11:02,23.3,37.9
2021-03-04 01:12:01,23.3,37.9
2021-03-04 01:13:01,23.3,37.9
2021-03-04 01:14:01,23.3,38.0
2021-03-04 01:15:01,23.3,38.0
2021-03-04 01:16:02,23.3,37.9
2021-03-04 01:17:02,23.3,38.0
2021-03-04 01:18:01,23.3,38.0
2021-03-04 01:19:01,23.3,37.9
2021-03-04 01:20:04,23.2,38.0
2021-03-04 01:21:02,23.2,38.0
2021-03-04 01:22:02,23.2,37.9
2021-03-04 01:23:01,23.2,37.9
2021-03-04 01:24:01,23.2,37.9
2021-03-04 01:25:01,23.2,37.9
2021-03-04 01:26:01,23.2,37.9
2021-03-04 01:27:02,23.2,38.0
2021-03-04 01:28:02,23.2,38.0
2021-03-04 01:29:01,23.2,37.9
2021-03-04 01:30:01,23.2,38.0
2021-03-04 01:31:01,23.1,37.9
2021-03-04 01:32:01,23.2,38.0
2021-03-04 01:33:02,23.2,38.0
2021-03-04 01:34:02,23.2,38.0
2021-03-04 01:35:01,23.2,38.0
2021-03-04 01:36:01,23.2,37.9
2021-03-04 01:37:01,23.2,38.0
2021-03-04 01:38:01,23.2,37.9
2021-03-04 01:39:01,23.2,38.0
2021-03-04 01:40:02,23.1,37.9
2021-03-04 01:41:02,23.1,37.9
2021-03-04 01:42:01,23.1,37.9
2021-03-04 01:43:01,23.2,38.0
2021-03-04 01:44:01,23.1,37.9
2021-03-04 01:45:01,23.1,37.9
2021-03-04 01:46:02,23.1,37.9
2021-03-04 01:47:02,23.1,37.9
2021-03-04 01:48:01,23.1,37.9
2021-03-04 01:49:01,23.1,37.9
2021-03-04 01:50:01,23.1,38.0
2021-03-04 01:51:01,23.1,37.9
2021-03-04 01:52:02,23.1,38.0
2021-03-04 01:53:02,23.1,38.0
2021-03-04 01:54:01,23.1,37.9
2021-03-04 01:55:01,23.1,38.0
2021-03-04 01:56:01,23.1,37.9
2021-03-04 01:57:01,23.1,38.0
2021-03-04 01:58:01,23.0,37.9
2021-03-04 01:59:02,23.1,37.9
2021-03-04 02:00:02,23.0,37.9
2021-03-04 02:01:01,23.1,37.9
2021-03-04 02:02:01,23.1,38.0
2021-03-04 02:03:01,23.0,37.9
2021-03-04 02:04:01,23.0,37.9
2021-03-04 02:05:02,23.0,37.9
2021-03-04 02:06:02,23.0,37.9
2021-03-04 02:07:01,23.0,37.9
2021-03-04 02:08:01,23.0,37.9
2021-03-04 02:09:01,23.0,37.9
2021-03-04 02:10:01,23.0,37.9
2021-03-04 02:11:02,23.0,37.9
2021-03-04 02:12:02,23.0,37.9
2021-03-04 02:13:02,23.0,37.9
2021-03-04 02:14:01,23.0,37.9
2021-03-04 02:15:01,23.0,37.9
2021-03-04 02:16:01,23.0,37.9
2021-03-04 02:17:01,23.0,38.0
2021-03-04 02:18:02,23.0,38.0
2021-03-04 02:19:02,22.9,37.9
2021-03-04 02:20:01,22.9,37.9
2021-03-04 02:21:01,23.0,37.9
2021-03-04 02:22:01,22.9,37.9
2021-03-04 02:23:01,22.9,37.9
2021-03-04 02:24:02,22.9,37.9
2021-03-04 02:25:02,22.9,37.9
2021-03-04 02:26:01,22.9,37.9
2021-03-04 02:27:01,22.9,37.9
2021-03-04 02:28:01,22.9,37.9
2021-03-04 02:29:01,22.9,37.9
2021-03-04 02:30:01,22.9,37.9
2021-03-04 02:31:02,22.9,37.9
2021-03-04 02:32:02,22.9,37.9
2021-03-04 02:33:01,22.9,37.9
2021-03-04 02:34:01,22.9,37.8
2021-03-04 02:35:01,22.9,37.9
2021-03-04 02:36:01,22.9,37.9
2021-03-04 02:37:02,22.9,37.9
2021-03-04 02:38:02,22.9,37.9
2021-03-04 02:39:01,22.9,37.9
2021-03-04 02:40:01,22.9,37.9
2021-03-04 02:41:01,22.9,37.9
2021-03-04 02:42:01,22.9,37.9
2021-03-04 02:43:02,22.8,37.8
2021-03-04 02:44:02,22.9,37.9
2021-03-04 02:45:01,22.8,37.9
2021-03-04 02:46:01,22.8,37.9
2021-03-04 02:47:01,22.8,37.9
2021-03-04 02:48:01,22.8,37.9
2021-03-04 02:49:02,22.8,37.9
2021-03-04 02:50:02,22.8,37.9
2021-03-04 02:51:01,22.8,37.9
2021-03-04 02:52:01,22.8,37.9
2021-03-04 02:53:01,22.8,37.9
2021-03-04 02:54:01,22.8,37.9
2021-03-04 02:55:01,22.8,37.9
2021-03-04 02:56:02,22.8,37.9
2021-03-04 02:57:01,22.8,37.9
2021-03-04 02:58:01,22.8,37.9
2021-03-04 02:59:04,22.8,37.9
2021-03-04 03:00:02,22.8,37.9
2021-03-04 03:01:02,22.8,37.9
2021-03-04 03:02:01,22.8,37.9
2021-03-04 03:03:01,22.8,37.9
2021-03-04 03:04:01,22.8,37.9
2021-03-04 03:05:01,22.8,37.9
2021-03-04 03:06:02,22.8,37.9
2021-03-04 03:07:02,22.8,37.9
2021-03-04 03:08:01,22.8,37.9
2021-03-04 03:09:01,22.8,37.9
2021-03-04 03:10:01,22.7,37.8
2021-03-04 03:11:01,22.7,37.8
2021-03-04 03:12:01,22.8,37.9
2021-03-04 03:13:02,22.7,37.8
2021-03-04 03:14:02,22.7,37.8
2021-03-04 03:15:01,22.7,37.8
2021-03-04 03:16:01,22.7,37.8
2021-03-04 03:17:01,22.7,37.8
2021-03-04 03:18:01,22.7,37.8
2021-03-04 03:19:02,22.7,37.8
2021-03-04 03:20:02,22.7,37.8
2021-03-04 03:21:01,22.7,37.8
2021-03-04 03:22:01,22.7,37.8
2021-03-04 03:23:01,22.7,37.8
2021-03-04 03:24:01,22.7,37.9
2021-03-04 03:25:01,22.7,37.8
2021-03-04 03:26:02,22.7,37.8
2021-03-04 03:27:02,22.7,37.9
2021-03-04 03:28:01,22.7,37.8
2021-03-04 03:29:01,22.7,37.9
2021-03-04 03:30:01,22.7,37.8
2021-03-04 03:31:01,22.7,37.9
2021-03-04 03:32:02,22.7,37.9
2021-03-04 03:33:02,22.7,37.9
2021-03-04 03:34:01,22.7,37.9
2021-03-04 03:35:01,22.7,37.8
2021-03-04 03:36:01,22.6,37.8
2021-03-04 03:37:01,22.7,37.8
2021-03-04 03:38:02,22.7,37.8
2021-03-04 03:39:02,22.6,37.8
2021-03-04 03:40:01,22.6,37.8
2021-03-04 03:41:01,22.7,37.9
2021-03-04 03:42:01,22.6,37.8
2021-03-04 03:43:01,22.7,37.9
2021-03-04 03:44:02,22.6,37.8
2021-03-04 03:45:02,22.6,37.8
2021-03-04 03:46:01,22.6,37.8
2021-03-04 03:47:01,22.6,37.8
2021-03-04 03:48:01,22.6,37.8
2021-03-04 03:49:01,22.6,37.8
2021-03-04 03:50:01,22.6,37.8
2021-03-04 03:51:02,22.6,37.8
2021-03-04 03:52:02,22.6,37.8
2021-03-04 03:53:01,22.6,37.8
2021-03-04 03:54:01,22.6,37.8
2021-03-04 03:55:01,22.6,37.8
2021-03-04 03:56:01,22.6,37.8
2021-03-04 03:57:02,22.6,37.8
2021-03-04 03:58:02,22.6,37.8
2021-03-04 03:59:01,22.5,37.8
2021-03-04 04:00:01,22.6,37.8
2021-03-04 04:01:01,22.6,37.8
2021-03-04 04:02:01,22.6,37.8
2021-03-04 04:03:05,22.6,37.8
2021-03-04 04:04:01,22.6,37.8
2021-03-04 04:05:01,22.6,37.8
2021-03-04 04:06:01,22.6,37.8
2021-03-04 04:07:01,22.5,37.8
2021-03-04 04:08:02,22.5,37.8
2021-03-04 04:09:02,22.5,37.8
2021-03-04 04:10:01,22.5,37.8
2021-03-04 04:11:01,22.6,37.8
2021-03-04 04:12:01,22.5,37.8
2021-03-04 04:13:01,22.5,37.8
2021-03-04 04:14:05,22.5,37.8
2021-03-04 04:15:01,22.5,37.8
2021-03-04 04:16:01,22.5,37.8
2021-03-04 04:17:01,22.5,37.8
2021-03-04 04:18:01,22.5,37.8
2021-03-04 04:19:02,22.5,37.8
2021-03-04 04:20:02,22.5,37.8
2021-03-04 04:21:01,22.5,37.8
2021-03-04 04:22:01,22.5,37.8
2021-03-04 04:23:01,22.6,37.8
2021-03-04 04:24:01,22.5,37.8
2021-03-04 04:25:01,22.5,37.8
2021-03-04 04:26:02,22.5,37.8
2021-03-04 04:27:02,22.5,37.8
